,strategy_return,excess_return,benchmark_return
2022-01-31,-0.06602128952913489,-0.01867113973111334,-0.04633176896599245
2022-02-28,-0.013077873961459319,-0.001294983209048528,-0.010100983757689086
2022-03-31,0.04615014550205898,0.015084105341849785,0.0344165696827512
2022-04-30,-0.1240760898958232,-0.06220941274627034,-0.06420984565352916
2022-05-31,-0.015598497253001775,-0.021607595086398312,0.011414298297647285
2022-06-30,-0.14524974857815365,-0.05686573489598212,-0.08987161619526218
2022-07-31,0.13481035201767022,0.03990387067859036,0.09334771274110598
2022-08-31,-0.022348720492366914,0.005498074810175835,-0.02639801752044868
2022-09-30,-0.08649551046013515,0.002968003163554611,-0.08790341419598025
2022-10-31,0.08315675264471989,-0.01209850413940794,0.0977526843166554
2022-11-30,0.06111572099367413,-0.00662802822351638,0.07122732890616557
2022-12-31,-0.08928122687333406,-0.04045823475692889,-0.04984205606870218
2023-01-31,0.12864052154693884,0.05252663058926288,0.07323308456671684
2023-02-28,0.001086332407010726,0.02911948540054987,-0.026183901791341224
2023-03-31,0.013455739930360533,0.009885055783482422,0.004484830913367377
2023-04-30,-0.010500210933960918,-0.015514739911226538,0.005130208825395277
2023-05-31,0.08008679469767688,0.1094803340193935,-0.02612913463854727
2023-06-30,0.07788742736804632,-0.001118850304269614,0.07898789463932965
2023-07-31,0.04367918014206151,0.006567965709803447,0.03715112058794556
2023-08-31,-0.04894930010618792,-0.022258140924512726,-0.026833257609464645
2023-09-30,-0.056140123242271245,-0.01025746248881021,-0.04628051810654221
2023-10-31,-0.06269404920081656,-0.02682493331962965,-0.0362356376753431
2023-11-30,0.15593187633096117,0.05416192792367225,0.09755388765301198
2023-12-31,0.10014886892359542,0.032302808578879016,0.0663497178277701
2024-01-31,-0.012309117472828812,-0.008317252551145238,-0.0037485009882046727
2024-02-29,0.11610722368208104,0.06599533777565103,0.04775467890459373
2024-03-31,0.03255330908928711,-0.013377299307260504,0.04664213826819252
2024-04-30,-0.0336836514662634,0.014095904594386921,-0.046625275131430555
2024-05-31,0.027983402608156682,-0.002214680748907405,0.030160618968722908
2024-06-30,0.009315963011032435,0.009785549891139445,-0.00048196379591847194
2024-07-31,0.04290996204811104,-0.0012452540865520723,0.044374809475545396
2024-08-31,0.04128696173409785,0.014675264815198874,0.027749873612328946
2024-09-30,0.0625323329295766,0.037231203463918616,0.024846565258885622
2024-10-31,0.01734612697551463,0.03149582162377906,-0.013586964645281197
2024-11-30,0.10995675948454542,0.03930979084223907,0.06841569210834542
2024-12-31,-0.04818377117842754,0.015253170150759887,-0.06213298548946067
2025-01-31,0.08180568454176784,0.042949385291198405,0.03728166980602232
2025-02-28,-0.023008828735022968,-0.01627035103770158,-0.006396063008268893
2025-03-31,-0.05811397607609137,-0.0230987154319805,-0.03455519305998578
2025-04-30,0.02870071501551119,0.05754243540153525,-0.01916102575649692
2025-05-31,0.1259126947756204,0.07836390823812689,0.04503217862804498
2025-06-30,0.06431358804683884,0.02958083124264821,0.03418867921292201
2025-07-31,0.016093016906216562,0.0070931155471121166,0.009095354136133826
2025-08-31,0.03806177815152245,0.008314321245975087,0.029932554692994717
2025-09-30,0.01170348147376199,0.0035890688372086643,0.008278822797581409
2025-10-31,-0.0035256191920195468,0.008162828116502707,-0.011273888485294536
2025-11-30,-0.046282552240823005,-0.037547427764440755,-0.008539779450188134
